study,domain,domain_abbr,sub_domain,source,metric,atlas,table_name,table_label,url_docs,url_deap,url_score,n_total,n_admin,n_item,n_derived,n_score,type,00S,00A,00M,01A,01M,02A,02M,03A,03M,04A,04M,05A,05M,06A,C01,C02,C03,C04,C05,C06,C07,S01,S02,S03,S04,S05
Core,"Friends, Family, & Community",fc,Culture,Parent,,,fc_p_meim,Multi-Group Ethnic Identity Measure [Parent],/documentation/non_imaging/fc.html#fc_p_meim,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Parent%22%2C%22Multi-Group%20Ethnic%20Identity%20Measure%20%5BParent%5D%22%5D%5D#/my-datasets/create-dataset,https://software.nbdc-datahub.org/ABCDscores/reference/index.html#multi-group-ethnic-identity-measure-parent-,28,3,19,,6,dynamic,,TRUE,,,,TRUE,,TRUE,,,,TRUE,,,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Culture,Parent,,,fc_p_vs,Values Scale [Parent],/documentation/non_imaging/fc.html#fc_p_vs,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Parent%22%2C%22Values%20Scale%20%5BParent%5D%22%5D%5D#/my-datasets/create-dataset,https://software.nbdc-datahub.org/ABCDscores/reference/index.html#values-scale-parent-,41,3,28,,10,dynamic,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,,,TRUE,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Culture,Youth,,,fc_y_aclt,Acculturation [Youth],/documentation/non_imaging/fc.html#fc_y_aclt,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Youth%22%2C%22Acculturation%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,,9,3,6,,,dynamic,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Culture,Youth,,,fc_y_meim,Multi-Group Ethnic Identity Measure [Youth],/documentation/non_imaging/fc.html#fc_y_meim,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Youth%22%2C%22Multi-Group%20Ethnic%20Identity%20Measure%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,https://software.nbdc-datahub.org/ABCDscores/reference/index.html#multi-group-ethnic-identity-measure-youth-,28,3,19,,6,dynamic,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Culture,Youth,,,fc_y_naa,Native American Acculturation [Youth],/documentation/non_imaging/fc.html#fc_y_naa,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Youth%22%2C%22Native%20American%20Acculturation%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,,5,2,3,,,dynamic,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Culture,Youth,,,fc_y_vs,Values Scale [Youth],/documentation/non_imaging/fc.html#fc_y_vs,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Youth%22%2C%22Values%20Scale%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,https://software.nbdc-datahub.org/ABCDscores/reference/index.html#values-scale-youth-,41,3,28,,10,dynamic,,,,,,TRUE,,TRUE,,TRUE,,,,TRUE,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Family,Parent,,,fc_p_drv,Youth Driving [Parent],/documentation/non_imaging/fc.html#fc_p_drv,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Parent%22%2C%22Youth%20Driving%20%5BParent%5D%22%5D%5D#/my-datasets/create-dataset,,18,3,15,,,dynamic,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Family,Parent,,,fc_p_fes,Family Environment Scale [Parent],/documentation/non_imaging/fc.html#fc_p_fes,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Parent%22%2C%22Family%20Environment%20Scale%20%5BParent%5D%22%5D%5D#/my-datasets/create-dataset,https://software.nbdc-datahub.org/ABCDscores/reference/index.html#family-environment-scale-parent-,69,3,54,,12,dynamic,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Family,Youth,,,fc_y_fes,Family Environment Scale [Youth],/documentation/non_imaging/fc.html#fc_y_fes,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Youth%22%2C%22Family%20Environment%20Scale%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,https://software.nbdc-datahub.org/ABCDscores/reference/index.html#family-environment-scale-youth-,25,3,18,,4,dynamic,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Family,Youth,,,fc_y_pet,Pet Ownership [Youth],/documentation/non_imaging/fc.html#fc_y_pet,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Youth%22%2C%22Pet%20Ownership%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,,10,3,7,,,dynamic,,,,,,,,TRUE,,TRUE,,,,TRUE,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Parenting,Parent,,,fc_p_hsf,Home Short Form [Parent],/documentation/non_imaging/fc.html#fc_p_hsf,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Parent%22%2C%22Home%20Short%20Form%20%5BParent%5D%22%5D%5D#/my-datasets/create-dataset,,17,3,14,,,dynamic,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Parenting,Parent,,,fc_p_pk,Parental Knowledge Scale [Parent],/documentation/non_imaging/fc.html#fc_p_pk,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Parent%22%2C%22Parental%20Knowledge%20Scale%20%5BParent%5D%22%5D%5D#/my-datasets/create-dataset,https://software.nbdc-datahub.org/ABCDscores/reference/index.html#parental-knowledge-scale-parent-,15,3,10,,2,dynamic,,,,,,,,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Parenting,Youth,,,fc_y_crpbi,Children's Report of Parental Behavioral Inventory [Youth],/documentation/non_imaging/fc.html#fc_y_crpbi,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Youth%22%2C%22Children%27s%20Report%20of%20Parental%20Behavioral%20Inventory%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,https://software.nbdc-datahub.org/ABCDscores/reference/index.html#children-s-report-of-parental-behavioral-inventory-youth-,20,3,13,,4,dynamic,,TRUE,,TRUE,,,,TRUE,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Parenting,Youth,,,fc_y_mnbs,Multidimensional Neglectful Behavior Scale [Youth],/documentation/non_imaging/fc.html#fc_y_mnbs,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Youth%22%2C%22Multidimensional%20Neglectful%20Behavior%20Scale%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,https://software.nbdc-datahub.org/ABCDscores/reference/index.html#multidimensional-neglectful-behavior-scale-youth-,17,3,8,,6,dynamic,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Parenting,Youth,,,fc_y_pm,Parental Monitoring [Youth],/documentation/non_imaging/fc.html#fc_y_pm,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Youth%22%2C%22Parental%20Monitoring%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,https://software.nbdc-datahub.org/ABCDscores/reference/index.html#parental-monitoring-youth-,10,3,5,,2,dynamic,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Peers,Youth,,,fc_y_pbp,Peer Behavior Profile [Youth],/documentation/non_imaging/fc.html#fc_y_pbp,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Youth%22%2C%22Peer%20Behavior%20Profile%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,,9,3,6,,,dynamic,,,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Peers,Youth,,,fc_y_pnh,Peer Network Health [Youth],/documentation/non_imaging/fc.html#fc_y_pnh,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Youth%22%2C%22Peer%20Network%20Health%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,https://software.nbdc-datahub.org/ABCDscores/reference/index.html#peer-network-health-youth-,11,3,6,,2,dynamic,,,,,,TRUE,,TRUE,,TRUE,,,,TRUE,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Peers,Youth,,,fc_y_rpi,Resistance to Peer Influence [Youth],/documentation/non_imaging/fc.html#fc_y_rpi,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Youth%22%2C%22Resistance%20to%20Peer%20Influence%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,https://software.nbdc-datahub.org/ABCDscores/reference/index.html#resistance-to-peer-influence-youth-,15,3,10,,2,dynamic,,,,,,,,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Temperament/Personality,Parent,,,fc_p_psb,Prosocial Behavior [Parent],/documentation/non_imaging/fc.html#fc_p_psb,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Parent%22%2C%22Prosocial%20Behavior%20%5BParent%5D%22%5D%5D#/my-datasets/create-dataset,https://software.nbdc-datahub.org/ABCDscores/reference/index.html#prosocial-behavior-parent-,8,3,3,,2,dynamic,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,,,TRUE,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Temperament/Personality,Youth,,,fc_y_psb,Prosocial Behavior [Youth],/documentation/non_imaging/fc.html#fc_y_psb,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Youth%22%2C%22Prosocial%20Behavior%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,https://software.nbdc-datahub.org/ABCDscores/reference/index.html#prosocial-behavior-youth-,8,3,3,,2,dynamic,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Work & School,Parent,,,fc_p_sag,School Attendance & Grades [Parent],/documentation/non_imaging/fc.html#fc_p_sag,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Parent%22%2C%22School%20Attendance%20%26%20Grades%20%5BParent%5D%22%5D%5D#/my-datasets/create-dataset,,26,3,23,,,dynamic,,,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Work & School,Youth,,,fc_y_sag,School Attendance & Grades [Youth],/documentation/non_imaging/fc.html#fc_y_sag,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Youth%22%2C%22School%20Attendance%20%26%20Grades%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,,5,3,2,,,dynamic,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Work & School,Youth,,,fc_y_srpf,School Risk & Protective Factors [Youth],/documentation/non_imaging/fc.html#fc_y_srpf,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Youth%22%2C%22School%20Risk%20%26%20Protective%20Factors%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,https://software.nbdc-datahub.org/ABCDscores/reference/index.html#school-risk-protective-factors-youth-,26,8,12,,6,dynamic,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,
Core,Genetics,gn,Population Structure,Youth,,,gn_y_popstruct,Genetic Population Structure [Youth],/documentation/non_imaging/gn.html#gn_y_popstruct,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Youth%22%2C%22Genetic%20Population%20Structure%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,,32,,,,32,static,,,,,,,,,,,,,,,,,,,,,,,,,,
Core,Genetics,gn,Relatedness,Experimenter,,,gn_e_zygrat,Twin Zygosity Rating [Experimenter],/documentation/non_imaging/gn.html#gn_e_zygrat,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Experimenter%22%2C%22Twin%20Zygosity%20Rating%20%5BExperimenter%5D%22%5D%5D#/my-datasets/create-dataset,,25,2,23,,,dynamic,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,
Core,Genetics,gn,Relatedness,Youth,,,gn_y_genrel,Genetic Relatedness [Youth],/documentation/non_imaging/gn.html#gn_y_genrel,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Youth%22%2C%22Genetic%20Relatedness%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,,14,6,,,8,static,,,,,,,,,,,,,,,,,,,,,,,,,,
Core,Imaging,mr,Administrative,Youth,,,mr_y_adm__info,MRI Info [Youth],/documentation/imaging/admin.html#mr_y_adm__info,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Youth%22%2C%22MRI%20Info%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,,7,7,,,,dynamic,,TRUE,,,,TRUE,,,,TRUE,,,,TRUE,,,,,,,,,,,,
Core,Imaging,mr,Administrative,Youth,,,mr_y_adm__nts,Scanning Checklist and Notes [Youth],/documentation/imaging/admin.html#mr_y_adm__nts,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Youth%22%2C%22Scanning%20Checklist%20and%20Notes%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,,21,21,,,,dynamic,,TRUE,,,,TRUE,,,,TRUE,,,,TRUE,,,,,,,,,,,,
Core,Imaging,mr,Administrative,Youth,,,mr_y_adm__qtn,Pre/Post-Scan Questionnaires [Youth],/documentation/imaging/admin.html#mr_y_adm__qtn,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Youth%22%2C%22Pre%2FPost-Scan%20Questionnaires%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,,48,8,40,,,dynamic,,TRUE,,,,TRUE,,,,TRUE,,,,TRUE,,,,,,,,,,,,
Core,Imaging,mr,Diffusion MRI (DTI),Youth,Fractional Anisotropy,AtlasTrack,mr_y_dti__fs__fa__at,DTI (Full shell) - Fractional Anisotropy (AtlasTrack) [Youth],/documentation/imaging/type_dmri.html#mr_y_dti,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22AtlasTrack%22%2C%22DTI%20%28Full%20shell%29%20-%20Fractional%20Anisotropy%20%28AtlasTrack%29%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,,42,,,,42,dynamic,,TRUE,,,,TRUE,,,,TRUE,,,,TRUE,,,,,,,,,,,,
Core,Imaging,mr,Diffusion MRI (DTI),Youth,Fractional Anisotropy,AtlasTrack,mr_y_dti__is__fa__at,DTI (Inner shell) - Fractional Anisotropy (AtlasTrack) [Youth],/documentation/imaging/type_dmri.html#mr_y_dti,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22AtlasTrack%22%2C%22DTI%20%28Inner%20shell%29%20-%20Fractional%20Anisotropy%20%28AtlasTrack%29%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,,42,,,,42,dynamic,,TRUE,,,,TRUE,,,,TRUE,,,,TRUE,,,,,,,,,,,,
Core,Imaging,mr,Diffusion MRI (DTI),Youth,Fractional Anisotropy,Desikan,mr_y_dti__fs__fa__gm__dsk,DTI (Full shell) - Fractional Anisotropy - Gray Matter (Desikan) [Youth],/documentation/imaging/type_dmri.html#mr_y_dti,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Desikan%22%2C%22DTI%20%28Full%20shell%29%20-%20Fractional%20Anisotropy%20-%20Gray%20Matter%20%28Desikan%29%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,,71,,,,71,dynamic,,TRUE,,,,TRUE,,,,TRUE,,,,TRUE,,,,,,,,,,,,
